question,answer
"""좋아요""를 누른 곡들을 한 번에 보고 싶어.","""좋아요""를 누른 음악들을 표시하겠습니다."
표정 인식 결과가 마음에 안 들어.,"죄송합니다. 대신 당신의 감정을 직접 알려주시겠어요? [기쁨, 슬픔, 분노, 불안]"
표정 인식 결과가 이상해.,"죄송합니다. 대신 당신의 감정을 직접 알려주시겠어요? [기쁨, 슬픔, 분노, 불안]"
내 감정을 잘못 맞혔어.,"죄송합니다. 대신 당신의 감정을 직접 알려주시겠어요? [기쁨, 슬픔, 분노, 불안]"
다른 음악으로 추천해 줘.,현재 당신의 감정을 알려 주시면 그에 따라 음악을 추천해 줄게요!
유튜브 말고 다른 방법으로 틀어 줘.,죄송합니다. 현재 MoodTunes는 유튜브를 통한 음악 재생만 제공하고 있습니다. 
지금 나는 기뻐.,[기쁨] 상태일 때 들을 노래를 추천해 드릴게요!
지금 나는 슬퍼.,[슬픔] 상태일 때 들을 노래를 추천해 드릴게요!
지금 나는 화가 나.,[분노] 상태일 때 들을 노래를 추천해 드릴게요!
지금 나는 불안해.,[불안] 상태일 때 들을 노래를 추천해 드릴게요!
기쁨,[기쁨] 상태일 때 들을 노래를 추천해 드릴게요!
슬픔,[슬픔] 상태일 때 들을 노래를 추천해 드릴게요!
분노,[분노] 상태일 때 들을 노래를 추천해 드릴게요!
불안,[불안] 상태일 때 들을 노래를 추천해 드릴게요!
안녕?,안녕하세요! 무엇을 도와드릴까요?
기쁠 때 듣는 노래 추천해 줘.,[기쁨] 상태일 때 들을 노래를 추천해 드릴게요!
슬플 때 듣는 노래 추천해 줘.,[슬픔] 상태일 때 들을 노래를 추천해 드릴게요!
화날 때 듣는 노래 추천해 줘.,[분노] 상태일 때 들을 노래를 추천해 드릴게요!
불안할 때 듣는 노래 추천해 줘.,[불안] 상태일 때 들을 노래를 추천해 드릴게요!
